lamb,seed,n_unobs,n_pos,auc,sib_conv
0.1052,32,210,32,0.9691011235955056,False
0.1052,33,210,19,0.988151005786718,True
0.1052,34,210,17,0.9847607436757086,True
0.1052,35,210,14,0.9868804664723032,False
0.1052,36,210,27,0.9876543209876544,False
0.1052,37,210,13,0.97383834439672,False
0.1052,38,210,23,0.9893048128342246,True
0.1052,39,210,10,0.9985,True
0.1052,40,210,12,0.9924242424242424,True
0.1052,41,210,29,0.9641836540293388,True
0.1052,42,210,34,0.9753509358288772,True
0.1052,43,210,48,0.9970421810699588,False
0.1052,44,210,32,1.0,False
0.1052,45,210,25,0.9989189189189188,True
0.1052,46,210,24,0.9935035842293908,False
0.1052,47,210,17,0.9939042974702834,True
0.1052,48,210,35,0.9893877551020408,False
0.1052,49,210,37,0.9754725824089986,False
0.1052,50,210,40,0.976470588235294,False
0.1554,1,210,27,0.993928354584092,False
0.1554,2,210,26,0.99623745819398,True
0.1554,3,210,21,0.99949609473419,False
0.1554,4,210,49,0.9832678412980098,False
0.1554,5,210,30,0.9905555555555556,False
0.1554,6,210,35,0.998530612244898,True
0.1554,7,210,30,0.9951851851851852,True
0.1554,8,210,40,0.9541176470588236,False
0.1554,9,210,33,0.9690121554528334,False
0.1554,10,210,57,0.9850934525857126,False
0.1554,11,210,26,0.9972826086956522,True
0.1554,12,210,31,1.0,False
0.1554,13,210,34,0.9757687165775402,False
0.1554,14,210,23,0.9927923738665426,False
0.1554,15,210,45,0.9989225589225588,True
0.1554,16,210,3,1.0,True
0.1554,17,210,23,0.9872122762148338,False
0.1554,18,210,28,0.96978021978022,False
0.1554,19,210,9,0.9972360420121614,False
0.1554,20,210,49,0.9730003802763342,False
0.1554,21,210,27,0.9977737300141672,True
0.1554,22,210,16,0.9896907216494846,False
0.1554,23,210,51,0.9731162905413736,False
0.1554,24,210,4,0.9866504854368932,True
0.1554,25,210,44,0.9782311062431543,False
0.1554,26,210,20,0.9963157894736844,False
0.1554,27,210,31,0.986484051180393,False
0.1554,28,210,49,0.9896057802002788,False
0.1554,29,210,37,0.9920324949226684,False
0.1554,30,210,21,0.9952128999748048,False
0.1554,31,210,35,0.9885714285714288,False
0.1554,32,210,87,0.9953275394822914,False
0.1554,33,210,60,0.9756666666666668,False
0.1554,34,210,5,0.9853658536585368,True
0.1554,35,210,31,0.9933321319156604,False
0.1554,36,210,42,0.9791666666666666,False
0.1554,37,210,36,0.9958492975734354,False
0.1554,38,210,24,0.9950716845878136,False
0.1554,39,210,21,0.9987402368354747,False
0.1554,40,210,7,1.0,False
0.1554,41,210,37,0.9637556631776284,False
0.1554,42,210,61,0.9904279898778744,False
0.1554,43,210,22,0.9874274661508704,False
0.1554,44,210,57,0.9907120743034056,False
0.1554,45,210,28,0.9966640502354788,True
0.1554,46,210,26,0.9633152173913044,False
0.1554,47,210,45,0.9947474747474748,False
0.1554,48,210,73,0.9891010898910108,False
0.1554,49,210,34,0.9908088235294118,False
0.1554,50,210,33,0.9977743537065572,False
0.2294,1,210,102,0.9859295570079885,False
0.2294,2,210,86,0.9919354838709676,False
0.2294,3,210,81,0.9918652502631832,False
0.2294,4,210,79,0.9873417721518988,False
0.2294,5,210,61,0.9950489602816592,False
0.2294,6,210,23,0.995349918623576,False
0.2294,7,210,44,0.9927437020810516,False
0.2294,8,210,53,0.995313063333734,False
0.2294,9,210,81,0.9755957507895492,False
0.2294,10,210,14,0.9989067055393588,False
0.2294,11,210,56,0.9969851576994434,False
0.2294,12,210,40,0.9983823529411764,True
0.2294,13,210,84,0.9846938775510204,False
0.2294,14,210,66,0.9896885521885522,False
0.2294,15,210,82,0.9897103658536586,False
0.2294,16,210,60,0.9932222222222222,False
0.2294,17,210,82,0.997046493902439,False
